Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2019,5 Year Energy Action and Assessment Compliance Status
Columbia Road Apts: 422 Columbia Road,Compliant,Multifamily Housing,422 Columbia Rd,02125,31548,63.8,91,,Multifamily Housing,1920,114.4,3.6,2012560.6,0.156594126,0.829949319,,62.07,,"10 studios, 25 1 BR size & heat/HW
K DeWolf June 2010 / Kate Hussey June 2010
Sq Ft verified - JM Sept 2011
 ",,1502434000,"2017, 2018, 2019, ",No,
Columbia West: 392 Columbia Rd,Compliant,Multifamily Housing,392 Columbia Rd,02125,41632,73.5,64,,Multifamily Housing,2005,184.2,4.4,3058771.7,0.299739794,0.674502775,,55.8,,,,1502411010,"2015, 2016, 2017, 2018, 2019, ",No,
Columbus Place,Compliant,College/University,716 Columbus Avenue,02115,124192,94.6,,,College/University,1910,744.1,6,11751589.8,0.430585571,0.532413061,,8.41,,,,901417000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Comaven Housing: Comaven Housing,Compliant,Multifamily Housing,1399 Commonwealth Avenue,02134,64946,34.4,99,,Multifamily Housing,1974,141.1,2.2,2235334.3,0.42271389,0.540961233,,78.46,,"oil/gas listed for heating fuel.
2 oil accounts in Utility tab",,2101105000,"2015, 2016, 2017, 2018, 2019, ",No,
Combined Jewish Philanthropies,Compliant,Office,126 High Street,02110,76315,79,66,,Office,1899,381.9,5,6028845.1,0.390826791,0.53001453,,5.56,,,,0304133000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Comcast Building,Compliant,Office,426 East First Street,02127,80000,70.6,,,"Non-Refrigerated Warehouse, Office, Parking",1930,360.9,4.5,5648945.2,0.454479163,0.506466234,,2.67,,Comcast Warehouse building has substantial accessory office use to run operations.  Office space for Comcast building is estimated.  Building #2 is 100% office and occupied by other tenants.  ,,0602818000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Comfort Inn Boston,Compliant,Hotel,944 Morrissey Blvd,02122,47094,58.8,51,,Hotel,1985,194.2,4.1,2769765.8,0.717227699,0.221139022,,78.8,,,,1602553000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
Commerce Apartments,Compliant,Multifamily Housing,3115 Washington Street,02130,26000,72.6,22,,Multifamily Housing,1940,111.6,4.3,1887190.2,0.253960228,0.724216351,,40.7,,"According to Boston's tax assessor database, parcel id 1101302000 has a living area of 17,544 square feet. This building also has less than 50 units.",,1101302000,"2015, 2016, 2017, 2018, 2019, ",No,
Commercial Wharf West,Compliant,Multifamily Housing,79-85 Atlantic Avenue,02110-3718,65738,14.1,,,"Multifamily Housing, Office, Retail Store, Supermarket/Grocery Store",1834,69.6,1.1,928934.7,0.920867568,,,28.36,,"It is notable to point out that this property's proportion of residential use only slightly exceeds the maximum proportion allowable for properties to be calculated as mixed use buildings. (57% versus 50%)

A commercial gym operates on 6,400 square feet of the property's Gross Building Area, and this yields some unusual attributes of building energy consumption, such as long operating hours. For the sake of this report, the gym was classified as retail space.

For a number of the Energy Star Certification Requirements, we recorded estimated default values of energy consumption. 
The Gross Floor Area reporting was based on an estimate from an appraisal conducted by James M. Daly on May 17, 2018.
We chose to use utility-provided data for energy measurements.
Reporting was conducted by entities representing this property's owner. ",,0303549000,"2017, 2018, 2019, ",Yes,Extension
Commonwealth 1334 Associates LLC: 1334 Commonwealth Avenue,Compliant,Multifamily Housing,1334 Commonwealth Avenue,02134,18000,111.2,76,,Multifamily Housing,1920,148.7,8.3,2000785.5,0.117721423,,,61.01,,"-basement sqft situation needs to be checked and confirmed 
-No gas listed on utilities tab-dryers listed as gas
",,2101513000,"2017, 2018, 2019, ",No,
Commonwealth Apartments,Compliant,Multifamily Housing,1293 Commonwealth Avenue,01234,117241,79.7,77,,Multifamily Housing,1905,664.7,5.7,9347291.7,0.206224837,0.776053699,,47.46,,The Tax Assessor Database has incorrectly recorded the GFA for this property and flagged it as required to report on only one part of the property. The usage recorded here accurately reflects the for the property. ,,2101031000,"2015, 2016, 2017, 2018, 2019, ",No,
Commonwealth Condominium,Compliant,Multifamily Housing,362-366 Commonwealth Ave,02115,62000,84,56,,Multifamily Housing,1889,294.6,4.8,5206784.1,0.145852896,0.841613598,,34.27,,Gross floor area was estimated using the total rentable area plus common areas.,,503015000,"2015, 2016, 2017, 2018, 2019, ",No,
Commonwealth Park Condo: 1427 Commonwealth Avenue,Compliant,Multifamily Housing,1427 Commonwealth Avenue,02135,103823,68.1,54,,Multifamily Housing,1985,452.8,4.4,7070913.1,0.460753635,0.499652598,,60.83,,Building characteristics estimated! ,,2101110000,"2017, 2018, 2019, ",No,
Commonwealth Properties,Compliant,Multifamily Housing,66-70 Chiswick,02135,36800,124.2,21,,Multifamily Housing,1920,252.9,6.9,4569303.7,0.094471714,0.89741008,,47.61,,,,2102304000,"2015, 2016, 2017, 2018, 2019, ",No,
Commonwealth Properties LP: 1800 Commonwealth Ave,Compliant,Multifamily Housing,1800 Commonwealth Avenue,02135,32568,103.1,58,,Multifamily Housing,1920,186,5.7,3358258.4,0.095893797,0.895865815,,43.66,,"Gas meter shared among 5 buildings, usage split based on gross sq. ft",,2102302000,"2017, 2018, 2019, ",No,
Commonwealth Properties LP: 1810 Commonwealth Ave,Compliant,Multifamily Housing,1810 Commonwealth Avenue,02135,27000,123.1,43,,Multifamily Housing,1920,183.4,6.8,3323323,0.087221498,0.905283326,,52.66,,"Gas meter shared among 5 buildings, usage split based on gross sq. ft",,2102301000,"2017, 2018, 2019, ",No,
Commonwealth Properties LP: 1820 Commonwealth Avenue,Compliant,Multifamily Housing,1820 Commonwealth Avenue,02135,39921,82.6,78,,Multifamily Housing,1920,181.4,4.5,3296549,0.080450779,0.912635881,,35.62,,"Gas meter shared among 5 buildings, usage split based on gross sq. ft

Electric usage looked high but Eversource confirmed whole building was sent for 1820 Commonwealth service address only. This is consistent with the request made through the Eversource Data Portal, which shows the request only for 1820 Commonwealth, 36 units. ",,2102300000,"2017, 2018, 2019, ",No,
Commonwealth Properties LP: 2045 Commonwealth Avenue,Compliant,Multifamily Housing,2045 Commonwealth Avenue,02135,27080,98,41,,Multifamily Housing,1920,147.1,5.4,2653463.7,0.097858624,0.893732143,,40.72,,,,2205301000,"2017, 2018, 2019, ",No,
Commonwealth Residence LLC: 1634 Commonwealth Avenue,Compliant,Multifamily Housing,1634 Commonwealth Avenue,02135,24555,132.7,4,,Multifamily Housing,1920,179.2,7.3,3257895.2,0.080001095,0.913124216,,27.93,,,,2101997000,"2017, 2018, 2019, ",No,
Commonwealth Square Condo Trust,Compliant,Multifamily Housing,9 Commonwealth Court,02135,82350,83.4,85,,Multifamily Housing,1981,510.3,6.2,6868838.9,0.102091505,,,52.71,,,,2101776000,"2016, 2017, 2018, 2019, ",No,
Concord Houses- 715 Tremont,Compliant,Multifamily Housing,715 Tremont Street,02118,75000,83.4,72,,Multifamily Housing,1976,353.8,4.7,6256083.8,0.145246748,0.842271838,,38.72,,705 - 723 Tremont Street ,,0402660000,"2015, 2016, 2017, 2018, 2019, ",No,
Concord Houses- 725 Tremont,Compliant,Multifamily Housing,725 Tremont Street,02118,80000,90.9,70,,Multifamily Housing,1976,409.2,5.1,7269533.4,0.133683176,0.854829087,,59.61,,725 - 743 Tremont Street,,0402600000,"2015, 2016, 2017, 2018, 2019, ",No,
CONDON,Municipal,K-12 School,220 D St.,02127,140426,83.4,29,,"K-12 School, Swimming Pool",1975,734.2,5.2,11712065.8,0.403770861,0.561532048,,Not Available,,,,600312000,"2016, 2017, 2018, 2019, ",No,
CONGREGATION ADATH ISRAEL,Compliant,Worship Facility,477 Longwood Avenue,02215,110959,18.9,,,Worship Facility,1972,156.8,1.4,2091754.1,0.920867437,,,6.89,,,,401995000,"2016, 2017, 2018, 2019, ",Yes,Not Compliant
CONLEY,Municipal,K-12 School,450 Poplar St.,02131,25281,59.8,76,,K-12 School,1932,86.3,3.4,1511658.6,0.168225795,0.817318077,,Not Available,,,,1805700000,"2016, 2017, 2018, 2019, ",No,
Connell House,Compliant,Office,20 Harvard Way,02163,6067,31.1,98,,Office,1940,13.1,2.2,188831.7,0.333202415,,0.638164037,14.94,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After Jan 201, monthly readings are accurate.

Steam usage is allocated as 3% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Connolly Branch,Municipal,Library,433 Centre St,02130,9240,22.3,,,Library,2000,15.4,1.7,205833.4,0.919949825,0.000995951,,Not Available,,,,1902177000,"2016, 2017, 2018, 2019, ",No,
Constellation Wharf Condominium,Compliant,Multifamily Housing,Pier 7 Ninth Street,02129,177451,5.1,100,,"Multifamily Housing, Parking",1986,62.5,0.4,833715.4,0.9208675,,,17.56,,,,203516001,"2015, 2016, 2017, 2018, 2019, ",No,
Constitution Co-op: 42 Park Street,Compliant,Multifamily Housing,42 Park Street,02129,58304,94.9,62,,Multifamily Housing,1985,334.4,5.7,5531080.2,0.309624415,0.663768752,,59.15,,,,203350010,"2015, 2017, 2018, 2019, ",No,
Continuum,Compliant,Multifamily Housing,199 N Harvard Street,02134,416976,35.8,100,,"Multifamily Housing, Other, Parking",2015,976.1,2.3,14934918.5,0.51667818,0.438922295,,10.48,,,,2200534010,"2017, 2018, 2019, ",No,
Copley Branch (Johnson / McKim),Municipal,Library,700 Bolyston Street,02116,930000,102.7,,,Library,2000,6652.6,7.2,95541964.3,0.348535555,,0.621513857,Not Available,,,,401052000,"2016, 2017, 2018, 2019, ",No,
Copley Place,Compliant,Office,100 Huntington Avenue,02116,1232000,94.4,,,"Enclosed Mall, Office, Parking",1983,8618.5,7,116263094.8,0.886745514,0.037054084,,24.96,,we provide chilled water to the Copley Westin Hotel and Copley Marriott Hotels . .  and electric and water consumption relates to those users NOT @ 100 HUntington Ave. ,,0400600020,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
Copley Square Hotel,Compliant,Hotel,47 Huntington Ave,02116,95414,101.5,50,,Hotel,1891,610.1,6.4,9685108,0.416963666,0.547205535,,42.87,,,,0401056000,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
Cotting House,Compliant,Office,50 Harvard Way,02163,16747,41.6,95,,Office,1968,48.1,2.9,696337,0.292638533,,0.682214072,4.77,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Council Tower: 2875 Washington St,Compliant,Multifamily Housing,2875 Washington St,02119,110566,81,51,,Multifamily Housing,1985,541.3,4.9,8954978.1,0.309220291,0.664207576,,40.53,,new windows & roof membrane in 2005.  Also building was converted from electric to gas heat in 2005.,,1100915000,"2015, 2016, 2017, 2018, 2019, ",No,
Court Street,Municipal,Office,26 Court Street,02108,152532,47,87,,Office,2000,463.6,3,7167756.4,0.487707663,0.470382322,,Not Available,,,,302860000,"2016, 2017, 2018, 2019, ",No,
Courtyard Condominium,Compliant,Multifamily Housing,47 Harvard Street,02129,100000,19.6,100,,Multifamily Housing,1983,123.1,1.2,1962208.6,0.406755593,0.558290846,,21.14,,,,203690000,"2015, 2016, 2017, 2018, 2019, ",No,
Covenant House,Compliant,Multifamily Housing,30 Washington St,02135,140316,107.7,50,,Multifamily Housing,2003,860.5,6.1,15116689.7,0.160839469,0.825339155,,61.7,,,,2101991000,"2015, 2016, 2017, 2018, 2019, ",No,
"CPT Boston Business Park,  LLC",Compliant,Non-Refrigerated Warehouse,100-170 Meadow Road ,02136,450919,51.1,35,,Non-Refrigerated Warehouse,1958,1493.4,3.3,23030999.3,0.494991699,0.462472343,,8.88,,"Some of the meter numbers do not correspond with what is listed on my invoices 

5.30.19 - Data provided by Eversource was an aggregate total (condensed )   I've entered it into the active gas account and the active electric account ending in #     
7-16-19 NOTE:   Dates were adjusted for 2018  originally received printouts from utility company and listed ""start date"" as invoice date... no end date was given - 2018 and 2019 dates have been adjusted correctly.   ",,1809650040,"2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
CubeSmart (Boston) Store 556,Compliant,Self-Storage Facility,968 Massachusetts Avenue,02118,60670,2,,,Self-Storage Facility,1985,6.5,0.1,121237.5,0.031881954,0.965377874,,1.32,,,,801023030,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
CubeSmart (Boston) Store 589,Compliant,Self-Storage Facility,150 William F Mcclelan Highway,02128,108405,10.6,,,Self-Storage Facility,1985,72.1,0.7,1146313,0.413704583,0.550744692,,0.08,,,,100437000,"2016, 2017, 2018, 2019, ",Yes,Not Compliant
CubeSmart (Boston) Store 6681,Compliant,Self-Storage Facility,380 E. Street,02127,71791,25.3,,,Self-Storage Facility,2014,114.8,1.6,1812914.2,0.429944557,0.533109179,,0.45,,,,602838035,"2018, 2019, ",No,
Cummins Realty Trust,Compliant,Multifamily Housing,605 Truman Highway,02136,66410,2.9,100,,Multifamily Housing,1970,14.3,0.2,190424.4,0.920867538,,,62.21,,,,1811022000,"2015, 2017, 2018, 2019, ",No,
Cummins Towers,Compliant,Multifamily Housing,950 Canterbury Street,02131,206955,40.1,100,,Multifamily Housing,1900,458.5,2.2,8304013.1,0.088639146,0.903743878,,70.54,,,,1806659000,"2015, 2016, 2017, 2018, 2019, ",No,
Cumnock Hall,Compliant,Office,33 Harvard Way,02163,26137,71.1,70,,Office,1974,128.8,4.9,1857675.5,0.314558991,,0.658410148,3.66,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Curley Community Center,Municipal,Other - Recreation,1163 Columbia Rd,02127,47520,162.5,,,Other - Recreation,2000,450.6,9.5,7723781.4,0.220388818,0.76067259,,Not Available,,,,702442000,"2016, 2017, 2018, 2019, ",No,
Curley House,Municipal,Other,350 Jamaicaway,02130,12163,79.7,,,Other,2000,54.3,4.5,969130.4,0.12345588,0.865935069,,Not Available,,,,1902060000,"2016, 2017, 2018, 2019, ",No,
CURLEY JM,Municipal,K-12 School,40 Pershing Rd.,02130,34445,62.6,58,,K-12 School,1970,130.2,3.8,2157382.8,0.305383018,0.668374662,,Not Available,,,,1902069000,"2016, 2017, 2018, 2019, ",No,
CURLEY MARY E,Municipal,K-12 School,493 Centre St.,02130,122183,46.4,90,,K-12 School,1931,322.9,2.6,5674627.6,0.159605083,0.826679604,,Not Available,,,,1902069000,"2016, 2017, 2018, 2019, ",No,
Curtis Hall Community Center,Municipal,Other - Recreation,20 S St,02130,37995,102.5,,,Other - Recreation,2000,228.5,6,3894760.9,0.234337404,0.745525406,,Not Available,,,,1901289000,"2016, 2017, 2018, 2019, ",No,
CY Boston Downtown - 311nh,Compliant,Hotel,275 Tremont Street,02116,209999,124.7,21,,Hotel,2005,1651.1,7.9,26196678.8,0.418249093,0.545809654,,57.51,,,,0500065000,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
Cyprus,Compliant,Multifamily Housing,829 833 Beacon St,02215,50634,88,72,,Multifamily Housing,1920,249.1,4.9,4458205.7,0.116761073,0.873205312,,32.92,,,,2100170000,"2015, 2016, 2017, 2018, 2019, ",No,
D-04 Station,Municipal,Police Station,650 Harrison Ave,02118,27224,308.3,,,Police Station,2000,491.9,18.1,8394219.5,0.231409885,0.748704427,,Not Available,,,,801170010,"2016, 2017, 2018, 2019, ",No,
D-14 Station,Municipal,Police Station,301 Washington St,02201,13858,171.1,,,Police Station,2000,140.7,10.2,2371191.2,0.262722104,0.714701539,,Not Available,,,,2202387000,"2016, 2017, 2018, 2019, ",No,
Dale Village Condo Trust,Compliant,Multifamily Housing,25 Harrison St,02131,191967,0.7,,,Multifamily Housing,1989,10.8,0.1,143837.9,0.920868026,,,22.4,,,,1903888000,"2015, 2016, 2017, 2018, 2019, ",No,
Dartmouth Hotel,Compliant,Multifamily Housing,144 Dudley St,02119,69645,56.5,87,,"Multifamily Housing, Parking",1871,234.1,3.4,3937173,0.267812328,0.709173816,,76.45,,,,0903146010,"2015, 2016, 2017, 2018, 2019, ",No,
DAUGHTERS OF ST PAUL INC,Compliant,Mixed Use Property,50 ST PAULS AVENUE,02130,174000,54.3,,,"Office, Residence Hall/Dormitory",1955,576.6,3.3,9448251.4,0.197016149,0.632331259,,11.73,,,,1902625000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Davenport Commons A,Compliant,College/University,700 Columbus Avenue,02115,122719,75,,,College/University,2001,562.2,4.6,9206010.9,0.335708207,0.63544348,,45.84,,,,901434010,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Davenport Commons B,Compliant,College/University,696 Columbus Avenue,02115,76325,66.8,,,College/University,2001,306.8,4,5098912.8,0.297289182,0.677164002,,37.91,,,,901335010,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Dean's House,Compliant,Single Family Home,41 Harvard Way,02163,10978,59.2,,,Single Family Home,1929,37.7,3.4,649887.6,0.204179265,0.778274889,,13.59,,"Water is allocated by gross square footage for this property, and does not represent actual usage
",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
DEARBORN,Municipal,K-12 School,35 Geenville St.,02119,112128,Not Available,,,K-12 School,1913,Not Available,Not Available,Not Available,,,,Not Available,,,,1200039000,"2016, 2017, 2018, 2019, ",No,
Deer Park,Municipal,Other,Boylston  /  Tremont St,02120,1125,55.6,,,Other,2000,4.7,4.2,62504.1,0.920867332,,,Not Available,,,,500812000,"2016, 2017, 2018, 2019, ",No,
DEVER/MCCORMACK,Municipal,K-12 School,325 Mt. Vernon St.,02125,113400,106.6,29,,K-12 School,1957,678.7,6,12088547.4,0.127903708,0.861105198,,Not Available,,,,1303410000,"2016, 2017, 2018, 2019, ",No,
Devonshire,Compliant,Multifamily Housing,One Devonshire Place,02109,728652,43.7,92,,"Multifamily Housing, Office, Parking, Swimming Pool",1982,2009.2,2.8,31831859.5,0.422148929,0.541574692,,23.34,,,,303895000,"2017, 2019, ",No,
Devonshire Arch,Compliant,Hotel,159-175 Devonshire St.,02110,88385,115.3,38,,Hotel,1908,702.4,7.9,10188863.2,0.435425618,0.113040354,0.414116739,56.66,,"Dec 2018: Building GFA corrected to 88,385 sf",,0304664000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
DFCI - Dana Building,Compliant,Other,44 Binney st,02215,405175,391.3,,,"Other, Parking",1975,10643.6,26.3,158527334,0.250944108,,0.417383548,19.04,,"Dana Building
BERDO Property ID  2879000               Boston Parcel ID# 401913000

Correct Gross Square Feet is 405,175.

The Dana Building contains a mix of space uses, including medical research laboratories, and clinical space that feature energy intensive diagnostic equipment such as MRI's and Linear accelerators.  DFCI has, and will continue to, reduce the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.

The parking garage has been changed into conditioned space.  Total conditioned space is now 405,175",,401913000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
DFCI - Jimmy Fund Building,Compliant,Other,35 Binney Street,02215,101514,526.1,,,Other,1952,3571.3,35.2,53405776.7,0.225665483,,0.461831242,22.79,,"Jimmy Fund Building

BERDO ID#  2882447   Boston Parcel ID# 101898000

The Jimmy Fund Building contains a variety of space uses, including medical research laboratories, and clinic space.  DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401898000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
DFCI - Shields Warren Building,Compliant,Medical Office,50 Binnet Street,02215,46640,147.3,39,,Medical Office,1980,238.6,5.1,6871486.1,0.357553556,,0.088270862,10.86,,"Shields Warren Building
BERDO Property ID# 2882422

Switched from two to one water meter on 9-19-2016",,401914002,"2014, 2016, 2017, 2018, 2019, ",No,
DFCI - Smith Building,Compliant,Other,1 Jimmy Fund Way,02215,328204,584.8,,,"Other, Parking",1995,12681.7,38.6,191923949.3,0.158319406,,0.574734432,71.75,,"Smith Building
BERDO ID# 2882441

The Smith Building contains a mix of space uses, primarily specialized medical research laboratories. DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401919000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
DFCI - Yawkey Building,Compliant,Medical Office,450 Brookline ave,02215,291451,466.9,3,,Medical Office,2010,9065.9,31.1,136077729.8,0.209862682,,0.483811488,15.75,,"BERDO ID#  3102192

The Yawkey Cancer Care Center Building contains a mix of space uses, including clinical laboratories, clinic space, and a commercial kitchen and cafeteria.   DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401916000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
"Diamond 98, LLC",Compliant,Manufacturing/Industrial Plant,99 East Cottage Street,02125,56250,65.2,,,Manufacturing/Industrial Plant,1945,211.8,3.8,3669015.3,0.19487889,0.788374636,,2.56,,,,03646-000,"2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Dillon Field House,Compliant,College/University,47 North Harvard Street,02134,44312,Not Available,,,College/University,1931,Not Available,Not Available,Not Available,,,,Not Available,,,,2200533000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Dillon House,Compliant,Office,30 Harvard Way,02163,5674,107.3,55,,Office,1965,41,7.2,608572.8,0.107906141,,0.882821086,7.53,,"Steam usage is allocated as 10% of the meter shared with Chase Hall and Greenhill House.  Allocation is by GSF. Water is allocated by gross square footage for this property, and does not represent actual usage.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Dimock,Compliant,Multifamily Housing,1865 Columbus Avenue,02119,94000,45.4,97,,"Multifamily Housing, Parking",1920,249.6,2.7,4268584.5,0.226268839,0.754287305,,33.74,,,,"1101134000	1101142000	1101143000	1101144000	1101145000	1101146000	1101147000","2015, 2016, 2017, 2018, 2019, ",No,
Distillery North,Compliant,Multifamily Housing,455 East First Street,02127,40000,38.2,63,,"Multifamily Housing, Parking",2017,114.5,2.9,1528183.6,0.920867333,,,22.5,,,,603068000,"2017, 2018, 2019, ",No,
District 2/10 Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",280 Highland St,02119,27707,69,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,109.8,4,1911152.8,0.183626257,0.80059428,,Not Available,,,,1100867000,"2016, 2017, 2018, 2019, ",No,
District 3 Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",160 Hancock St,02125,16000,117.3,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,106.5,6.7,1876105.4,0.154375741,0.832358299,,Not Available,,,,1301627000,"2016, 2017, 2018, 2019, ",No,
District 4 Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",315 WESTERN AV,02134,3048,43.7,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,10,3.3,133074.5,0.920867407,,,Not Available,,,,2200561000,"2016, 2017, 2018, 2019, ",No,
District 6 Yard,Municipal,Other,315 Gardner St,02132,3000,99.5,,,Other,2000,22.4,7.5,298648.1,0.920866985,,,Not Available,,,,2009010000,"2016, 2017, 2018, 2019, ",No,
District 7 Yard,Municipal,Other,58 Gibson St,02122,10875,32,,,Other,2000,22.9,2.1,348237.1,0.527599463,0.427062481,,Not Available,,,,1600672000,"2016, 2017, 2018, 2019, ",No,
District 8 Yard,Municipal,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",58 Dana Ave,02136,7966,120.9,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,23.1,7.7,362697.2,0.449456737,0.511920136,,Not Available,,,,1809224000,"2016, 2017, 2018, 2019, ",No,
DIV Shawmut LLC,Compliant,Pre-school/Daycare,112 Shawmut Avenue,02118,70002,25.4,,,Pre-school/Daycare,1930,102.2,1.5,1777583.9,0.184727977,0.799397879,,0.68,,,,306180000,"2016, 2017, 2018, 2019, ",No,
Dix Hall,Voluntary,College/University,30 Pilgrim Road,02215,22000,27.3,,,College/University,1953,45,2,601093.2,0.920867317,,,33.06,,,, 0402016000,"2018, 2019, ",No,
Doctors Office Building,Compliant,Medical Office,720 Harrison Avenue,02118,94618,53.9,76,,Medical Office,2015,381.6,4,5103877.9,0.902801672,,0.019618181,15.26,,,,0801243000,"2016, 2018, 2019, ",Yes,Extension
Don Orione Home,Compliant,Senior Care Community,111 Orient Ave,02128,100000,Not Available,,,Senior Care Community,1950,Not Available,Not Available,Not Available,,,,Not Available,,,,102101000,"2017, 2018, 2019, ",No,
Dona Betsaida Gutierrez Cooperative: Centre-Creighton Apartments,Compliant,Multifamily Housing,11 Creighton St,02130,35503,79.7,22,,Multifamily Housing,2010,179.3,5.1,2829691.7,0.432923722,0.52987405,,104.13,,Ground floor retail space (7078 sq. ft.) taken out of gross building square footage to get rid of areas not covered by utility accounts.,,1002038024,"2017, 2018, 2019, ",No,
Dorchester House Apartments: 10 Ellet Street,Compliant,Multifamily Housing,10 Ellet St,02122,59400,49.3,84,,Multifamily Housing,1983,199.5,3.4,2928454.1,0.632840906,0.31277738,,60.37,,,,1500550000,"2015, 2016, 2017, 2018, 2019, ",No,
DORCHESTER HS,Municipal,K-12 School,9 Peacevale Rd.,02124,143173,63.8,70,,K-12 School,1925,524.1,3.7,9132404.8,0.180358873,0.804142409,,Not Available,,,,1701773010,"2016, 2017, 2018, 2019, ",No,
DOT HS ANNEX,Municipal,K-12 School,9 Peacevale Rd.,02124,10287,135.8,8,,K-12 School,1995,79.8,7.8,1396929.8,0.169591056,0.815835556,,Not Available,,,,1701773010,"2016, 2017, 2018, 2019, ",No,
Doubletree Club Hotel Boston Bayside,Compliant,Hotel,240 Mt. Vernon Street,02125,91000,Not Available,,,Hotel,1999,Not Available,Not Available,Not Available,,,,Not Available,,no contextual info will be disclosed in the first year.,,03448-000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
Doubletree Suites,Compliant,Hotel,400 Soldiers Field Rd,02134,244038,62.2,82,,"Hotel, Swimming Pool",1990,1043.5,4.3,15186627.5,0.658144445,0.285299465,,55.24,,,,2200102000,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Offsite Renewables
Draper Pool,Municipal,Other - Recreation,5279 Washington St,02132,17400,327.3,,,Other - Recreation,2000,241.2,18.9,4183025.8,0.192246324,0.791233465,,Not Available,,,,2010802000,"2016, 2017, 2018, 2019, ",No,
"DT Boston - Bayside, MA",Compliant,Hotel,240 Mt. Vernon Street,02125,110910,67.8,93,,Hotel,1999,522.2,4.7,7521440.8,0.688516226,0.252317747,,50.48,,,,1303448050,"2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
"DT Boston - Downtown, MA",Compliant,Hotel,821 Washington Street,02111,161358,92.2,70,,Hotel,1999,976.4,6.1,14872050.7,0.52906344,0.425472722,,60.4,,,,305560010,"2015, 2016, 2019, ",Yes,Extension
