Property Name,Reported,Tax Parcel,Property Type,Address, Zip,"Gross Area (sq ft) 
",Site EUI (kBTU/sf),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link
Copley Place,Reported,400600020,Office,100 Huntington Avenue,2116,1232000,69.1,,,"Enclosed Mall, Office, Parking",1983,5933.2,4.8,85071697.3,0.9772,0.228,,,,,,14.83,Not Available,we provide chilled water to the Copley Westin Hotel and Copley Marriott Hotels . .  and electric and water consumption relates to those users NOT @ 100 HUntington Ave. ,
49 Symphony,Reported,401552000,Multifamily Housing,49 Symphony,2115,40084,17.2,,,Multifamily Housing,1918,50.8,1.3,689854.9,0.1294,,,0.876,,,,28.11,Not Available,,
309A-315C Huntington Ave,Reported,401700000,Other,315 Huntington Ave,2115,46293,63.8,,,Other,1920,160.7,3.5,2953552.5,0.751,0.9249,,,,,,31.34,Not Available,,
97 St. Stephen,Reported,401670000,Multifamily Housing,97 St. Stephen,2115,32280,60.4,97,,Multifamily Housing,1899,144.4,4.5,1951294.6,0.55,,,0.9495,,,,23.76,Not Available,,
115 St Stephen,Reported,401672000,Multifamily Housing,115 St Stephen Street,2115,37770,69.3,,,Multifamily Housing,1925,193.5,5.1,2619061.2,0.68,0.46,,0.9346,,,,36.76,Not Available,,
132-136 Hemenway,Reported,401700000,Multifamily Housing,132-136 Hemenway,2115,31475,52,99,,Multifamily Housing,1899,121.2,3.8,1637705.7,0.539,,,0.9461,,,,26.57,Not Available,,
56-58 Queensberry,Reported,504285000,Multifamily Housing,56-58 Queensberry,2115,35100,80.8,83,,Multifamily Housing,1914,207.8,5.9,2837048.8,0.26,0.41,,0.9331,,,,33.58,Not Available,,
1106-1110 Commonwealth Ave,Reported,2101594000,Other,1106 Commonwealth Ave,2215,57658,76.6,,,Other,1950,317.3,5.5,4418945.1,0.4778,0.211,,0.51,,,,38.37,Not Available,,
Brandywyne Village,Reported,100534000,Multifamily Housing,88 Brandywyne Drive,2128,385580,71.6,72,,Multifamily Housing,1967,1558.7,4,27611898.9,0.196,0.84,,,,,,48.55,Not Available,,
Lantera at Boston Landing- Greystar,Reported,2201904004,Multifamily Housing,125 Guest St,2135,282083,59.5,59,,"Heated Swimming Pool, Multifamily Housing, Parking",2018,891.1,3.8,13902310.6,0.6454,0.3546,,,,,,27.36,Not Available,,
The Andi - Greystar,Reported,,Multifamily Housing,25 Jan Karski Way,2125,561093,25.6,100,,"Heated Swimming Pool, Multifamily Housing, Parking",2018,626.5,1.6,10074355.8,0.533,0.467,,,,,,18.7,Not Available,new build,
Allston Landing Facility,Reported,2200301100,Manufacturing/Industrial Plant,500 Soldiers Field Road,2134,310000,659.4,,,Manufacturing/Industrial Plant,1994,11592,37.4,204400184.8,0.2114,0.7886,,,,,,110.84,Not Available,,
18 Tremont Street,Reported,302859000,Office,18 Tremont Street,2108,210669,53.8,78,"2020, 2019, 2018",Office,1915,756.1,3.6,11332470.8,0.4146,0.926,0.4927,,,,,3.28,Not Available,,
2 Constitution Wharf,Reported,203594000,Office,2 Constitution Wharf,2129,36067,52.6,69,,Office,1985,123.4,3.4,1896442.4,0.737,0.2963,,,,,,2,Not Available,Same BERDO ID used for both buildings within parcel.,
1 Constitution Wharf,Reported,203594000,Office,1 Constitution Wharf,2129,133682,44.7,80,,Office,1985,413.5,3.1,5978025.7,0.9435,0.565,,,,,,11.25,Not Available,Same BERDO ID used for both buildings within parcel.,
Jamestown - 21-25 Drydock Ave Boston,Reported,602674013,Office,21-25 Drydock Ave,2210,804862,73.3,72,2018,"Laboratory, Manufacturing/Industrial Plant, Office",1918,3772.5,4.7,58983876.6,0.6372,0.3628,,,,,,12.7,667058,,
Jamestown - 1 Design Center Boston,Reported,602674012,Other,1 Design Center Place,2210,556340,58.3,,2016,"Office, Other, Restaurant",1985,2018.8,3.6,32429493.2,0.5369,0.4631,,,,,,4.92,Not Available,Parcel IDs 0602674012 and 0602674018,
The Victor by Windsor,Reported,301536000,Multifamily Housing,110 Beverly St.,2114,379172,44.5,78,,Multifamily Housing,2013,1041.7,2.7,16872774.6,0.567,0.4933,,,,,,17.69,Not Available,,
Haynes House,Reported,902160000,Multifamily Housing,735 Shawmut Ave,2119,138759,63.7,67,,"Multifamily Housing, Parking",1974,510.9,3.7,8832032.3,0.2778,0.7222,,,,,,32.55,Not Available,,
Phillips Brooks-1300741010,Voluntary,1300741010,Multifamily Housing,5 Perth Street,2121,51431,127.1,5,,"Multifamily Housing, Parking",1845,317.5,7,5728976.5,0.1353,0.8647,,,,,,1.25,Not Available,,
Dartmouth Hotel,Reported,903146010,Multifamily Housing,144 Dudley St,2119,90645,59.2,75,,"Multifamily Housing, Parking",1871,240.5,3.5,4120885.1,0.378,0.6922,,,,,,66.01,Not Available,,
Adams Court - B,Reported,1801012001,Multifamily Housing,435 River St,2126,21336,144.7,,,"Multifamily Housing, Parking",1963,125.5,7.9,2305872.2,0.774,0.9226,,,,,,55.12,Not Available,,
Dudley Greenville-1200023010,Reported,1200023010,Multifamily Housing,205 Dudley St,2119,42182,82,53,,"Multifamily Housing, Parking",2014,169.9,4.7,2940520.8,0.2731,0.7269,,,,,,8.65,Not Available,,
Adams Court - A,Reported,1801010000,Multifamily Housing,415 River Street,2126,32800,84,45,,"Multifamily Housing, Parking",1965,140.1,4.7,2512033.5,0.1566,0.8434,,,,,,0.41,Not Available,,
Grand Families,Reported,1402009000,Multifamily Housing,214 Harvard St,2124,37252,84.6,33,,"Multifamily Housing, Parking",1962,177,4.9,3075318.9,0.2612,0.7388,,,,,,4.17,Not Available,National Grid estimated the gas usage very low until late 2017.,
The Greenhouse Apartments,Reported,864000,Multifamily Housing,150 Huntington Avenue,2115,851968,28.4,97,,"Multifamily Housing, Parking",1983,1394.8,1.8,22336225.3,0.5485,0.4515,,,,,,19.51,Not Available,,
Waterside Place,Reported,602678015,Multifamily Housing,505 Congress Street,2210,337289,44.6,79,,"Multifamily Housing, Parking, Retail Store",2014,874.8,2.9,13640719.5,0.6476,0.3524,,,,,,23.35,Not Available,GFA excludes loading dock and decks,
New England Aquarium,Reported,302990000,Other - Entertainment/Public Assembly,250 Atlantic Ave,2110,136000,169.4,,,Other - Entertainment/Public Assembly,1969,1594,11.7,23041067.5,0.9437,0.559,0.4,,,,,80,Not Available,"Main Building, Central Wharf

New England Aquarium

Public Aquarium",
Amory Street,Reported,1101208000,Multifamily Housing,125 Amory Street,2130,117306,92.1,7,,"Multifamily Housing, Other",1970,714.8,6.1,10809379.3,0.7646,0.2354,,,,,,65.59,Not Available,,
New Franklin Park,Reported,1402813000;1202352000;1202396000;1401235000;1402539000;1401233000;1500516000;1402708000;1401938000;1202987000;1401232000;1202395000;1402797000;1402822000;1202353000;1700625000;1202354000;1202394000;1401234000,Multifamily Housing,132 Seaver Street,2121,184496,107.6,26,,Multifamily Housing,1900,1105,6,19843978.4,0.1511,0.8489,,,,,,71.72,Not Available,,
Cheriton Heights,Reported,2011777010,Multifamily Housing,18 Cheriton Rd,2132,79367,42.4,92,,Multifamily Housing,1979,201.4,2.5,3361712.3,0.3999,0.61,,,,,,21.83,Not Available,,
Woodbourne Apartments,Reported,1904952000,Multifamily Housing, 6 Southbourne Rd,2130,49064,87.2,34,,Multifamily Housing,1980,246.5,5,4279976.4,0.2632,0.7368,,,,,,57.9,Not Available,,
Historic South End,Reported,0901144000;0305741000;0400285000;0402452000;0402618000;0402619000;0402620000;0402621000;0402842000;0801481000;0900792000;0900793000;0900794000;0900795000;0900796000;0900797000;0900798000;0900799000;0900916000;0900923000;0901072000;0901074000;0901076000;0901078000;0901137000;0901139000;0901141000,Multifamily Housing,792 Tremont Street,,93252,127.6,17,,Multifamily Housing,1900,668.7,7.2,11900045.4,0.187,0.8193,,,,,,82.36,Not Available,,
Chauncy House,Reported,304506000,Multifamily Housing,115-119 Chauncy Street,2111,58874,62.3,74,,Multifamily Housing,1922,217.8,3.7,3665612,0.377,0.6293,,,,,,59.95,Not Available,,
Back of the Hill Apartments L.P.,Reported,1001490000,Multifamily Housing,100 South Huntington Avenue,2130,119531,55.3,89,,Multifamily Housing,1978,382.6,3.2,6608142.1,0.2813,0.7187,,,,,,30.35,Not Available,,
Cheriton Grove Apartments,Reported,2011777000,Multifamily Housing,20 Cheriton Rd,2132,43174,70.1,74,,Multifamily Housing,1986,176.1,4.1,3026833.7,0.297,0.73,,,,,,30.18,Not Available,,
Casa Maria Apartments,Reported,301498000,Multifamily Housing,130 Endicott Street,2113,79136,74.7,64,,Multifamily Housing,1979,335.6,4.2,5909599.4,0.2156,0.7844,,,,,,31.83,Not Available,,
100 Summer Street,Reported,304220000,Office,100 Summer Street,2110,1135045,68.7,65,"2016, 2015, 2014, 2013, 2012, 2011","Fast Food Restaurant, Office, Other, Parking",1974,5242.6,4.7,76506427.1,0.5696,,0.434,,,,,7.02,Not Available,"This building is a large office building in downtown Boston.  It represents a single building only.  

The square footages used in previous time periods are inconsistent.  The current occupancy and vacancy numbers are a reasonable representation of the those in the past, and have been confirmed to be accurate over  the performance period.",
226 Causeway Street,Reported,303061012,Office,226 Causeway Street,2114,192890,90.2,33,,Office,1906,1122.6,5.8,17403097.5,0.6693,0.337,,,,,,23.3,Not Available,,
99 Summer Street,Reported,304576000,Office,99 Summer Street,2110,331332,36.6,89,"2020, 2018, 2017, 2016, 2011, 2010","Office, Parking",1987,714.2,2.5,10654930.3,0.8176,0.1824,,,,,,6.38,Not Available,,
Prudential Center Retail,Reported,401037103,Enclosed Mall,800 Boylston Street,2199,671530,142.4,,,Enclosed Mall,1993,6287.6,9.4,95650599.2,0.692,0.2211,0.1696,,,,,40.74,Not Available,"Prudential Center Retail includes Saks Fifth Avenue and Lord & Taylor. Excludes Del Frisco's, Tesla, Under Armour, Bonobos, Hammermade as these are included in 888 Boylston Street.",
TFC 30 Winter LLC,Voluntary,304770000 - Voluntary,Office,30 Winter Street,2108,87228,52.3,100,,"Data Center, Office, Retail Store",1975,319.7,3.7,4559076.5,1,,,,,,,6.89,Not Available,,
73-79 Essex Street,Reported,304449000,Office,79 Essex Street,2111,65240,12,,,Office,1907,54.8,0.8,781484.5,1,,,,,,,0,Not Available,,
125 Lincoln Street,Reported,304334000,Mixed Use Property,125 Lincoln Street,2111,115625,59.1,,,"Office, Other, Parking, Supermarket/Grocery Store",1955,200.1,3.5,3417704.5,0.3191,0.689,,,,,,53.08,Not Available,,
100 High Street,Reported,304408000,Office,100 High Street,2110,644970,49.2,,"2020, 2019, 2018, 2017, 2014, 2012, 2011, 2010","Data Center, Office, Parking",1988,1897.4,3.4,27054520.4,1,,,,,,,5.24,Not Available,,
The Landmark,Reported,304406000,Office,160 Federal Street,2110,398650,49.3,78,"2020, 2019, 2018, 2017, 2016, 2015, 2013","Office, Parking",1929,1203,3.3,18085814.1,0.7876,0.2124,,,,,,6.09,Not Available,,
75-101 Federal Street,Reported,304199,Office,75-101 Federal Street,2110,939341,56.8,71,"2018, 2017, 2016, 2015, 2014, 2012, 2009","Bank Branch, Data Center, Office, Parking",1929,3530.5,4,50494015.3,0.9584,0.43,0.373,,,,,6.13,Not Available,"This property has two Boston parcel IDs.

0304198000
0304199000
",
Horticultural Hall,Reported,401160000,Office,247 Huntington Ave,2115,43181,64.1,37,,Office,1901,194.1,4.5,2767488.6,1,,,,,,,10.5,Not Available,,
Renaissance Park,Reported,902704020,Office,1135 Tremont Street,2120,157421,102.8,100,,"Data Center, Office",1993,1079.5,6.9,16182055.4,0.7988,0.212,,,,,,8.11,Not Available,"Boston Energy Reporting ID:
02704-010
02704-020",
Squashbusters @ Northeastern University,Reported,901340000,Other - Education,795A Columbus Avenue,2120,38498,111,,,Other - Education,2003,296.9,7.7,4271740,0.9629,0.371,,,,,,9.83,Not Available,,
1234 Soldiers Field Road,Reported,2200562002,Hotel,1234 Soldiers Field Road,2135,110550,48.5,94,,"Hotel, Parking",1900,171,2.9,2841743.1,0.4155,0.5845,,,,,,16.63,Not Available,,
"Two Hundred Mortgage Associates, L.P.",Reported,304042000,Office,200 High Street,2110,96393,78.1,44,,Office,1900,509.1,5.3,7526502.4,0.854,0.146,,,,,,19.96,Not Available,,
10/20 Channel Center,Reported,0602757030 0602757045,Office,10 Channel Center Street,2210,265830,40.2,,"2019, 2018",Office,1920,750.3,2.8,10697766.3,1,,,,,,,5.32,Not Available,,
"Italian Home for Children, Inc.",Reported,1902719000,Residential Care Facility,1125 Centre Street,2130,48785,8.7,,,Residential Care Facility,1919,22.5,0.5,423229.4,,1,,,,,,39.21,Not Available,,
225 Franklin Street,Reported,304134000,Office,225 Franklin Street,2110,1109242,62,83,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011","Data Center, Office, Parking",1966,4458.4,4.3,64825301.5,0.6368,,0.3632,,,,,9.08,Not Available,"The building is currently seeking LEED EBOM Certification:
Project Name = 225 Franklin Street
Project ID = 1000063072

Meters ""Board A"" and ""Board B"" are sub-meters. The electric grid meters ""Board C"", ""Board D"", ""Site 225 Franklin Electric Power"", and the District Steam meters ""Cooling 24049"" and ""Heating 24041"" account for whole-building energy consumption.
 
March 31, 2016",
Chiswick Building,Reported,02538-000,Multifamily Housing,125 Chiswick Rd,2135,94068,54.4,96,,Multifamily Housing,1963,277,2.9,5120950.9,0.575,0.9425,,,,,,21.64,Not Available,,
Regency Building 1455,Reported,01829-000,Multifamily Housing,1455,2135,123500,54.6,99,,"Multifamily Housing, Parking",1968,306.1,3,5628040.9,0.751,0.9249,,,,,,28.23,Not Available,,
33 Broad Street,Reported,303840000,Office,33 Broad Street,2109,40933,125.1,11,,"Food Service, Office, Self-Storage Facility",1902,297,7.3,5122529.7,0.2862,0.7138,,,,,,8.22,Not Available,,
Greater Boston Food Bank,Reported,801027000,Distribution Center,70 South Bay Avenue,2118,144351,53.1,55,,"Distribution Center, Parking, Refrigerated Warehouse",2009,369.5,3.2,6229050,,0.6353,,,,,,5.12,Not Available,"We are a LEED Silver certified building. LEED is ""Leadership in Energy & Environmental Design, a green building certification program that recognizes best-in-class building strategies and practices."" To receive LEED certification, building projects must satisfy prerequisites and earn points to achieve different levels of certification. We have one freezer that is 5,990 sf but 3 stories high and 2 coolers that are 3,085 sf and 1,550 sf at the same height.  Our energy consumption seems a little higher than normal but understandable. Our building is unique and there is nothing that is comparable.",
Ink Block South End,Reported,306625000,Multifamily Housing,300 Harrison Ave,2118,501493,45.3,85,,"Food Sales, Multifamily Housing, Other, Parking",2015,1139.6,2.9,17823236.5,0.6362,0.3638,,,,,,33.18,Not Available,,
750 Dorchester Ave Condo Association,Reported,43566,Mixed Use Property,750 Dorchester Ave,2125,71540,46.1,,,"Medical Office, Office, Other, Vocational School",2009,202.1,2.8,3294662,0.4838,0.5162,,,,,,2.79,Not Available,,
Suffolk Downs,Reported,102524000,Other - Entertainment/Public Assembly,525 McClellan Highway,2128,2242755,35,,,"Other - Entertainment/Public Assembly, Parking",1935,962.2,2.1,16358985.3,0.335,0.665,,,,,,2.81,Not Available,,
Boston FGA/GHL Maintenance (040011),Reported,603422000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",571 East First Street,2127,40687,158.7,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",1920,360.7,8.9,6455476.1,0.1619,0.8381,,,,,,14.86,Not Available,"Energy and water data entered manually from utility provided bills (obtained online CASS). Location is required to submit monthly energy data, by May 15th each year. Size of building provided by FGA; year built, employees, schedule, PCs, occupancy provided by Chris Dalton 8/17/2017.
",
Boston East (bs029),Reported,105413010,Multifamily Housing,126 Border St,2128,294100,12.9,,,"Multifamily Housing, Parking",2018,196.9,0.8,3325306.1,0.3577,0.6423,,,,,,17.33,Not Available,,
119,Reported,2201867000,Office,119 Braintree Street,2134,230974,35.5,97,,"Office, Parking",1908,306.1,2.2,5003665.7,0.4739,0.5261,,,,,,3.6,Not Available,"Property use is office and artist studio.
Parking gross floor area is estimated.",
World Trade Center East-Boston,Reported,602679035,Office,2 Seaport Lane,2210,520595,53.3,69,"2009, 2008","Office, Restaurant",2000,1945.5,3.7,27741202.4,1,,,,,,,8.82,Not Available,The property square footage grew based on the BOMA Pembroke Seaport East Property Plan Book document dated 6.30.2016.,
World Trade Center West,Reported,602677010,Office,155 Seaport Boulevard,2210,605173,67.8,,,"Adult Education, Fitness Center/Health Club/Gym, Office, Restaurant, Retail Store",2000,2845.7,4.7,41037250.1,0.9537,0.463,,,,,,10.8,Not Available,GSF updated per BOMA 6.16.16 measurements.,
255 State Street Building,Reported,303821000,Office,255 State Street,2109,220519,69.2,,,"Office, Retail Store",1918,1050.8,4.8,15267816.4,0.9231,0.769,,,,,,11.08,Not Available,,
Rowes Wharf,Reported,302961198,Mixed Use Property,30 Rowes Wharf,2110,1167195,68.5,,2013,"Heated Swimming Pool, Hotel, Multifamily Housing, Office, Parking, Retail Store, Transportation Terminal/Station",1987,4059.6,4.6,60970808.8,0.7915,0.285,,,,,,16.88,Not Available,,
"Mandarin Oriental, Boston",Reported,0401037810 0401037800,Multifamily Housing,772-776 Boylston Street,2199,452336,105.8,5,,"Bar/Nightclub, Hotel, Multifamily Housing, Other - Mall, Restaurant, Social/Meeting Hall",2006,3253.2,7.2,47840402,0.5525,0.348,0.4124,,,,0.2885,16.72,Not Available,,
Academy Homes I,Reported,1100916001,Multifamily Housing,1592 Columbus Ave,2119,232026,106.2,39,,Multifamily Housing,1962,1371.4,5.9,24630974.4,0.157,0.8493,,,,,,5.3,Not Available,,
Brown Kaplan,Reported,1404266030,Multifamily Housing,27-33 Wilbert Rd,2121,5894,25.6,,,"Multifamily Housing, Parking",1990,7.8,1.6,123372,0.6154,0.3846,,,,,,1342.26,Not Available,2017 gas data missing 3 tenants.,
Langham Court,Reported,900660000,Multifamily Housing,26 Worcester St,2118,117340,59.6,55,,"Multifamily Housing, Parking",1991,372.4,3.5,6394503.2,0.38,0.6992,,,,,,8.9,Not Available,,
The Blackstone Apartments,Reported,300670000,Multifamily Housing,33 Blossom Street,2114,129648,53.6,90,2016,Multifamily Housing,1978,405.7,3.1,6948484.7,0.399,0.691,,,,,,27.21,Not Available,,
Franklin Square Apartments,Reported,801385002,Multifamily Housing,11 East Newton Street,2118,193816,63.3,82,,Multifamily Housing,1867,695.1,3.6,12266385.6,0.287,0.7913,,,,,,28.57,Not Available,,
Kenmore Abbey,Reported,503924000,Multifamily Housing,488 Commonwealth Avenue,2115,199419,52.5,,2016,"Multifamily Housing, Other, Retail Store",1978,615.6,3.1,10470555.2,0.334,0.666,,,,,,28.57,Not Available,,
WBZ TV,Reported,2200551000,Other,1170 Soldiers Field Road,2134,198982,177.9,,,"Other, Parking",1948,1105.7,11.4,17269832.8,0.641,0.359,,,,,,7.37,Not Available,"Building is in use 24 X 7 X 365
168 hours per week
",
Presentation,Reported,2203447000,Residential Care Facility,10 Bellamy St,2135,57000,105.1,,,"Parking, Residential Care Facility",1974,282.6,6.7,4414441.8,0.647,0.3593,,,,,,76.36,Not Available,parcel 2203447000,
The Beverly,Reported,301523035,Multifamily Housing,101 Beverly St,2114,468111,55.9,25,,"Multifamily Housing, Other, Parking, Restaurant",2018,1412.9,3.7,21556355.1,0.734,0.2696,,,,,,40.16,Not Available,,
100 Arlington,Reported,500805000,Multifamily Housing,100 Arlington Street,2116,203204,40.8,65,,"Food Sales, Multifamily Housing",1926,558.3,2.7,8282502.4,0.6527,0.177,0.2396,,,,,15.52,Not Available,Parcel ID: 0500805000,
One Back Bay,Reported,401129218,Multifamily Housing,135 CLARENDON ST,2116,580189,39.8,92,2020,"Food Sales, Multifamily Housing, Parking, Retail Store",2009,1213.6,2.5,19266412,0.584,0.4196,,,,,,26.7,Not Available,Parcel ID: 0401129218,
Lovejoy Wharf,Reported,303063000,Multifamily Housing,100 Lovejoy Place,2114,253788,63.3,29,,"Fitness Center/Health Club/Gym, Multifamily Housing, Restaurant",2017,998.5,3.9,16077417.7,0.5285,0.4715,,,,,,15.41,Not Available,,
Lovejoy Wharf,Reported,303060001,Office,160 N. Washington St. ,2144,236688,47.5,77,"2018, 2017","Office, Retail Store",2015,751.8,3.2,11239722.3,0.893,0.197,,,,,,7.52,Not Available,"Vacant retail space of 11786 sq ft, entered as office and less than 10% vacancy

LEED Project Name: 1 Lovejoy  
LEED Project Number: 1000091694 
",
Olnick - 329 Washington Street,Reported,2202396000,Multifamily Housing,329-343 Washington Street,2135,36195,84.2,69,,"Multifamily Housing, Retail Store",1899,170.4,4.7,3046969.3,0.1649,0.8351,,,,,,Not Available,Not Available,,
One Post Office Square,Reported,304160000,Office,One Post Office Square,2109,831283,40.8,,"2018, 2017, 2016, 2015, 2013, 2012, 2010, 2009","Bank Branch, Office, Parking",1981,2165.2,2.6,33879590.6,0.6343,0.3657,,,,,,3.73,Not Available,"This building is currently in redevelopment status with major construction activity, including demolition of the parking garage, gutting of the office floors up through the 19th floor, and construction of a new 17-floor addition. Several electric utility accounts have been closed and new temporary construction service accounts have been established.",
One Lincoln Street,Reported,304246010,Financial Office,One Lincoln Street,2111,1341926,110,,,"Data Center, Financial Office, Parking, Restaurant",2003,8018.1,7.7,114803262.5,0.989,,,,,,0.1693,18.7,Not Available,,
420 Rutherford Ave,Reported,202162070,Self-Storage Facility,420 Rutherford Ave,2129,42963,17.1,,,Self-Storage Facility,1980,43.1,1,736590.1,0.32,0.68,,,,,,0.07,Not Available,,
Combined Jewish Philanthropies,Reported,304133000,Office,126 High Street,2110,76315,63,84,,Office,1899,287.4,3.8,4809034.3,0.3912,0.688,,,,,,2.69,Not Available,,
1295 Boylston - Ste# 535088,Reported,504210010,Office,1295 BOYLSTON ST,2215,176775,151.3,21,,"Office, Parking, Retail Store",1990,1295.5,9.9,19776774.9,0.727,0.2722,,,,,0.8694,2.83,Not Available,Property Management received from national grid and NStar the gas use for the missing tenants and whole building electric uses.,
251 Causeway,Reported,301510000,Office, 251 Causeway Street,2114,150097,48.3,77,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013","Data Center, Medical Office, Office",1909,501.5,3.3,7254325.2,0.9412,0.588,,,,,,5.02,Not Available,,
549 Albany Street - 535139,Reported,801154010,Laboratory,549 Albany Street,2118,168012,222.9,,,"Distribution Center, Laboratory, Office, Parking, Refrigerated Warehouse",1895,1443.3,13.7,23503015.5,0.487,0.5127,,,,,0.283,1.97,Not Available,,
Mother Brook Trust,Reported,1812141000,Multifamily Housing,1608 River Street,2136,66954,50.2,83,,Multifamily Housing,1986,192.4,2.9,3361961.8,0.2424,0.7576,,,,,,48.24,Not Available,,
ATJ Neponset III,Reported,1809798000 1809785000,Multifamily Housing,30 - 46 Sierra Road,2136,43400,38,73,,Multifamily Housing,1964,115.6,2.7,1647687.4,1,,,,,,,133.51,Not Available,,
Cummins Realty Trust,Reported,1811022000,Multifamily Housing,605 Truman Highway,2136,66410,11.7,100,,Multifamily Housing,1970,54.5,0.8,777338.9,1,,,,,,,55.62,Not Available,,
Blackstone Square LP,Reported,900190000,Other,1511 - 1525 Washington Street,2118,50290,8,,,Other,1900,28.4,0.6,404693.9,1,,,,,,,44.31,Not Available,,
Ambassador Realty Trust,Reported,1802441000 1802440000,Multifamily Housing,100 - 110 Livermore Street,2126,72800,102,26,,Multifamily Housing,1968,421.4,5.8,7424430.7,0.2138,0.7862,,,,,,85.93,Not Available,,
2165 Dot Ave LLC,Reported,1704098000,Multifamily Housing,2165 Dorchester Avenue,2124,27300,12.9,100,,Multifamily Housing,1964,24.6,0.9,351122.1,1,,,,,,,61.01,Not Available,,
Geraghty Generational Real Estate Trust - 130 Bradlee,Reported,1807892000,Senior Living Community,130 Bradlee Street,2136,20000,53.2,,,Senior Living Community,1899,62.1,3.1,1064187.1,0.373,0.6927,,,,,,7.72,Not Available,,
State House LLC,Reported,303899000,Office,1 State Street,2109,64428,18.3,97,,Office,1928,82.8,1.3,1179968.5,1,,,,,,,1046.44,Not Available,,
Butler Street,Reported,1703703000,Multifamily Housing,68 Butler Street,2124,24000,17.2,100,,Multifamily Housing,1968,29,1.2,413172.8,1,,,,,,,57.85,Not Available,,
Charlesgate Condominiums,Reported,503870210,Multifamily Housing,4 Charlesgate East,2215,35000,116.4,,,Multifamily Housing,1890,234.2,6.7,4073946.4,0.2568,0.7432,,,,,,Not Available,Not Available,,
Gumball Condominiums,Submitted with possible data errors,103894010,Multifamily Housing,150 Orleans Street,2128,35000,Not Available,,,Multifamily Housing,1989,Not Available,Not Available,Not Available,,,,,,,,Not Available,Not Available,,
150 Dorchester Ave. Condominium,Reported,600074010,Multifamily Housing,150 Dorchester Ave,2127,35000,69.8,86,,Multifamily Housing,2004,131.9,3.8,2444443.5,0.492,0.958,,,,,,8042.89,Not Available,,
103 Gainsborough St,Reported,401611000,Multifamily Housing,103 Gainsborough St,2115,37120,1.8,100,,Multifamily Housing,1984,4.6,0.1,65900.4,1,,,,,,,3018.41,Not Available,,
DNA Lofts Condominiums,Submitted with possible data errors,1303046010,Multifamily Housing,944 Dorchester Ave,2125,35000,Not Available,,,Multifamily Housing,2015,Not Available,Not Available,Not Available,,,,,,,,Not Available,Not Available,,
102-108 Gainsborough Street,Reported,401645000,Multifamily Housing,102 Gainsborough Street,2115,55280,2.5,100,,Multifamily Housing,1983,9.7,0.2,138554.8,1,,,,,,,27.4,Not Available,,
Commercial Wharf East,Reported,303028406,Multifamily Housing,49 Commercial Wharf East,2110,75331,80.2,,,"Multifamily Housing, Parking",1965,441,5.9,5963390.1,0.591,0.8,,0.941,,,,31.16,Not Available,,
Bigelow Sq,Submitted with possible data errors,600516000,Multifamily Housing,350 West 4th St.,2135,60000,Not Available,,,Multifamily Housing,1899,Not Available,Not Available,Not Available,,,,,,,,Not Available,Not Available,,
Kilsyth Terrace,Reported,2102128000,Multifamily Housing,"4,8,12 Kilsyth Terrace",2135,60000,41.3,100,,Multifamily Housing,1980,131.6,2.2,2477422.5,,1,,,,,,20.36,Not Available,,
St. Cloud,Reported,400218000,Multifamily Housing,557-569 Tremont St.,20118,40000,6.6,100,,Multifamily Housing,1960,26.1,0.7,262442.2,1,,,,,,,3359.02,Not Available,,
Lewis Warf,Reported,3029510,Other,28-32 Atlantic Ave,2110,150000,48.2,,,Other,1850,393.3,2.6,7226638.9,0.765,0.9235,,,,,,2513.33,Not Available,,
63-65 Burbank,Reported,401446000,Multifamily Housing,63-65 Burbank st,2115,55280,1.4,,,Multifamily Housing,1985,5.4,0.1,77544.7,1,,,,,,,609.87,Not Available,,
111 Gainsborough St,Reported,401615000,Multifamily Housing,111 Gainsborough St,2115,37120,2.4,100,,Multifamily Housing,1984,6.2,0.2,87994.4,1,,,,,,,2478.6,Not Available,,
90 & 96 Gainsborough St,Reported,401646000,Multifamily Housing,90 Gainsborough St,2115,55280,3.1,,,Multifamily Housing,1984,12.1,0.2,171916.5,1,,,,,,,2703.86,Not Available,,
Dartmouth Square Condominums,Reported,400357046,Multifamily Housing,150 Appleton St,2118,35000,38.7,,,Multifamily Housing,1984,74.5,2.1,1354489.4,0.1124,0.8876,,,,,,39.19,Not Available,,
95 Gainsborough St,Reported,401607000,Multifamily Housing,95 Gainsborough St,2115,37120,1.5,100,,Multifamily Housing,1984,4,0.1,57441.7,1,,,,,,,2280.53,Not Available,,
78 & 84 Gainsborough St,Reported,401647000,Multifamily Housing,78 Gainsborough St,2115,55280,2.3,,,Multifamily Housing,1984,9,0.2,127950.4,1,,,,,,,2348.06,Not Available,,
