Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water ,% District Chilled Water,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2020,5 Year Energy Action and Assessment Compliance Status
Main Campus,Municipal,College/University,300 The Fenway,2115,550200,158.4,,,"College/University, Parking",1904,5590.2,10.2,87142699.3,0.505652588,0.494347412,,,,,Not Available,,,,"401842000, 401842000","2015, 2016, 2017, 2018, 2019, 2020,",No,
Main College Building,Municipal,College/University,300 The Fenway,2115,197600,5.7,,,College/University,1901,60,0.3,1130364.5,,1,,,,,Not Available,,,,401842000,"2015, 2016, 2017, 2018, 2019, 2020,",No,
Malvern Place Apartments,Compliant,Multifamily Housing,"40 Malvern St. Allston, Ma. 02134",2215,39180,74.5,75,,"Multifamily Housing, Parking",2015,173.5,4.4,2918642.4,0.289366967,0.710633033,,,,,Not Available,,This is a new building on 2 parcels of land:  2100555000 & 2100556000,,2100555000,"2018, 2019, 2020,",No,
"Mandarin Oriental, Boston",Compliant,Multifamily Housing,772-776 Boylston Street,2199,452336,133.8,1,,"Bar/Nightclub, Hotel, Multifamily Housing, Other - Mall, Restaurant, Social/Meeting Hall",2006,4231.9,9.4,60515945.6,0.522163656,0.070023237,0.407357029,0.000456078,,,29.36,,,,"401037810, 401037920, 401037800","2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Mandela Homes (Building 03),Compliant,Multifamily Housing,9 Greenwicj St,2118,6823,27,,,Multifamily Housing,1969,13.8,2,184428.5,1,,,,,,Not Available,,,,901150000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Mandela Homes (Building 04),Compliant,Multifamily Housing,10 Hammond Street,2118,61440,11.4,100,,Multifamily Housing,1969,52.4,0.9,699697.8,1,,,,,,Not Available,,,,901855000,"2018, 2020,",Yes,Extension
Mandela Homes (Building 14),Compliant,Multifamily Housing,560 Shawmut St,2118,6823,26.9,,,Multifamily Housing,1969,13.7,2,183341.1,1,,,,,,Not Available,,,,901150000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Mandela Homes (Building 22),Compliant,Multifamily Housing,1855 Washington Street,2118,89088,14.1,100,,Multifamily Housing,1969,94.4,1.1,1260319.8,1,,,,,,Not Available,,,,901150000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
"Mandela Homes (Buildings 01,02)",Compliant,Multifamily Housing,1-5 Greenwich St,2118,12156,28.4,,,Multifamily Housing,1969,25.9,2.1,345655.4,1,,,,,,Not Available,,,,901855000,"2018, 2020,",Yes,Extension
"Mandela Homes (Buildings 05,06,07,08)",Compliant,Multifamily Housing,22-34 Hammond St,2118,26172,22,,,Multifamily Housing,1969,43.1,1.6,574897.8,1,,,,,,Not Available,,,,901855000,"2018, 2020,",Yes,Extension
"Mandela Homes (Buildings 09,10,11)",Compliant,Multifamily Housing,53-57 Windsor Street,2118,9579,32.9,,,Multifamily Housing,1969,23.6,2.5,314899,1,,,,,,Not Available,,,,901855000,"2018, 2020,",Yes,Extension
"Mandela Homes (Buildings 12, 13)",Compliant,Multifamily Housing,150-160 North Hampton St,2118,12217,24.8,,,Multifamily Housing,1969,22.7,1.9,303346.6,1,,,,,,Not Available,,,,901150000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
"Mandela Homes (Buildings 15,16)",Compliant,Multifamily Housing,579-580 Shawmut St,2118,12844,26.2,,,Multifamily Housing,1969,25.2,2,336489.2,1,,,,,,Not Available,,,,901150000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
"Mandela Homes (Buildings 17,18,19,20,21)",Compliant,Multifamily Housing,1835-1841 Washingtom St,2118,32480,20.2,100,,Multifamily Housing,1969,49.2,1.5,656600.9,1,,,,,,Not Available,,,,901150000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Mandela Homes (Parent Property),Compliant,Multifamily Housing,1855 Washington Street,2118,269622,87.6,37,,Multifamily Housing,1969,1360.8,5,23623077,0.20571732,0.79428268,,,,,Not Available,,,,"901855000, 901850000","2015, 2016, 2018, 2019, 2020,",Yes,Extension
Mandela Homes (Shawmut Ave),Compliant,Multifamily Housing,586 572 SHAWMUT AV,2118,154058,98.1,60,,Multifamily Housing,1971,862.9,5.6,15119573.4,0.181228499,0.818771501,,,,,Not Available,,,,901150000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
MANNING,Municipal,K-12 School,130 Louders Ln.,2130,22336,74.5,55,,K-12 School,1941,94.9,4.2,1663202.4,0.18096198,0.81903802,,,,,Not Available,,,,1902518000,"2016, 2017, 2018, 2019, 2020,",No,
Maple Commons: Maple Commons,Compliant,Multifamily Housing,15 Maple Street,2121,27344,147.1,19,,Multifamily Housing,1920,221,8.1,4022376.1,0.083889868,0.916110132,,,,,Not Available,,"9 1BR, 23 2BR, 9 3BR

gross sq footage from Boston tax assessor's database

15, 19 Maple St - 26 units
21 Nazing St - 11 units
19A, 19 Centre - 4 units",,1202491000,"2017, 2018, 2019, 2020,",No,
Marcus Garvey,Compliant,Multifamily Housing,42 John Eliot Square,2119,144181,70.1,66,,Multifamily Housing,1981,602.9,4.2,10103971.7,0.30020956,0.69979044,,,,,40.36,,"Parcel ID: 0903557000
Address: NORFOLK ST, 02119
Owner: MARCUS GARVEY ASSOCS LPS",,903557000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Marine Unit,Municipal,Fire Station,50 Battery St,2109,5000,260.2,,,Fire Station,2000,39,19.5,520312.9,1,,,,,,Not Available,,,,303040000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Mariner Condo Associates,Compliant,Multifamily Housing,300 Commercial St,2109,186285,45.7,44,,Multifamily Housing,1986,569.1,3.1,8521738.7,0.626051911,0.373948089,,,,,Not Available,,,,303543000,"2017, 2018, 2019, 2020,",Yes,Extension
Marketplace Lofts Limited Partnership,Compliant,Multifamily Housing,10 Thacher Street,2113,72600,37.6,83,,Multifamily Housing,1904,183,2.5,2731393,0.635753625,0.364246375,,,,,28.31,,,,301309000,"2015, 2019, 2020,",Yes,Not Compliant
MARSHALL,Municipal,K-12 School,35 Westville St.,2124,141091,76.1,65,,"K-12 School, Swimming Pool",1971,616,4.4,10733524.1,0.196123107,0.803876893,,,,,Not Available,,,,1500740000,"2016, 2017, 2018, 2019, 2020,",No,
MASON,Municipal,K-12 School,150 Norfolk Ave.,2119,27642,83.9,52,,K-12 School,1905,128.8,4.7,2318025.9,0.111595302,0.888404698,,,,,Not Available,,,,800504000,"2016, 2017, 2018, 2019, 2020,",No,
Mason Place: 80 Mason St,Compliant,Multifamily Housing,80 Mason St,2111,134915,64.8,73,,Multifamily Housing,1918,512.8,3.8,8743211,0.25356444,0.74643556,,,,,32.79,,,,304838000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - Offsite Renewable Energy
Mason Pool,Municipal,Other - Recreation,159 Norfolk Ave,2119,13300,325.7,,,Other - Recreation,2000,252.1,19,4332173.2,0.233090865,0.766909135,,,,,Not Available,,,,800504000,"2016, 2017, 2018, 2019, 2020,",No,
Mass. Wholesale Food Terminal,Compliant,Manufacturing/Industrial Plant,130 Newmarket Square,2118,160000,144.4,,,"Manufacturing/Industrial Plant, Parking",1952,1512.9,9.5,23107396.3,0.566335165,0.433664835,,,,,16.84,,,,801021070,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Massachusetts Historical Society,Compliant,Museum,1154 Boylston St.,2215,48000,91.9,,,Museum,1899,308,6.4,4412737.2,0.397810275,,0.602189725,,,,Not Available,,,,401754000,"2016, 2017, 2018, 2019, 2020,",No,
Match Community Day,Compliant,K-12 School,"50,100,110 Poydras Street",2136,72200,35,91,,"K-12 School, Parking",2015,189.5,2.6,2528996,1,,,,,,6.06,,,,1801498010,"2017, 2018, 2019, 2020,",No,
MATHER,Municipal,K-12 School,24 Parish St.,2122,76974,50.8,86,,K-12 School,1905,221.3,2.9,3910415.1,0.158957779,0.841042246,,,,,Not Available,,,,1500364000,"2016, 2017, 2018, 2019, 2020,",No,
MATTAHUNT,Municipal,K-12 School,100 Hebron St.,2126,171035,114.6,34,,"Heated Swimming Pool, K-12 School",1977,1069.8,6.3,19607329,0.085070965,0.914929035,,,,,Not Available,,,,1802340000,"2016, 2017, 2018, 2019, 2020,",No,
Mattapan Apartments E,Compliant,Multifamily Housing,1332-1342 River Street,2136,66308,84.3,57,,Multifamily Housing,1920,165.6,4.8,2883290.5,0.254851185,0.74514885,,,,,15.79,,"Square footage is estimated.
",,"1811577000, 1811578000","2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Mattapan B,Compliant,Multifamily Housing,"3, 7 Bakersfield Street, 40, 48 Sumner Street, 40, 50 Willis Street",2125,40000,105.5,28,,Multifamily Housing,1920,234.5,5.9,4219561.1,0.145174009,0.854825968,,,,,64.99,,,,"1301796000, 1301797000","2017, 2018, 2019, 2020,",No,
Mattapan Branch,Municipal,Library,1350 Blue Hill Ave,2126,21000,148.1,,,Library,2000,190,9,3111001.1,0.364540244,0.635459756,,,,,Not Available,,,,1800918010,"2016, 2017, 2018, 2019, 2020,",No,
Mattapan Campus,Municipal,Urgent Care/Clinic/Other Outpatient,249 River Street,2118,107359,89.4,,,Urgent Care/Clinic/Other Outpatient,2000,575.5,5.4,9598059.5,0.313882134,0.686117876,,,,,Not Available,,,,1800113100,"2016, 2017, 2018, 2019, 2020,",No,
Mattapan Center for Life: 555 River Street,Compliant,Multifamily Housing,555 River Street,2126,52970,53.8,66,,Multifamily Housing,1996,167.2,3.2,2852385,0.251496975,0.748503025,,,,,Not Available,,Bedroom count is accurate - each unit has one bedroom so # units  = # bedrooms,,1801691020,"2017, 2018, 2019, 2020,",No,
Maverick Landing I,Compliant,Multifamily Housing,3 - 17 New Street,2128,144009,94.3,76,,Multifamily Housing,2004,762.3,5.3,13584029.8,0.137679571,0.862320429,,,,,Not Available,,,,105609010,"2019, 2020,",Yes,Extension
Maverick Landing II,Compliant,Multifamily Housing,115 Sumner Street,2128,98784,63.2,81,,Multifamily Housing,2005,363,3.7,6242155.3,0.230536574,0.769463442,,,,,Not Available,,,,105402010,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
McArdle Bridge Tender House,Municipal,Other - Public Services,500 Meridian St,2128,1300,619.6,,,Other - Public Services,2000,60.1,46.2,805537.4,0.468360501,,,0.531639375,,,Not Available,,,,105935000,"2016, 2017, 2018, 2019, 2020,",No,
McArthur Hall,Compliant,Residence Hall/Dormitory,47A Harvard Way,2163,107673,66.9,80,,Residence Hall/Dormitory,1999,495.1,4.6,7198683.4,0.278569606,,0.721430394,,,,Not Available,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
McBride House/St Cecilia's: StC-108 Kilmarnock st,Compliant,Multifamily Housing,StC-108 Kilmarnock st,2115,80731,61.9,86,,Multifamily Housing,1995,305.2,3.8,4995552.4,0.365737291,0.634262709,,,,,Not Available,,2 seperate buildings with shared water meter.,,504281010,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
McCollum Center,Compliant,Social/Meeting Hall,47 Harvard Way,2163,18925,75.9,,,Social/Meeting Hall,1969,100.1,5.3,1437220.3,0.378956866,,0.621043065,,,,Not Available,,"Steam usage is allocated based on GSF, shared meter with Chao and Esteves Hall. When Esteves was under construction, McCollum was being heated from McArthur.

Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After Jan 2017, monthly readings are accurate.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
McCulloch Hall,Compliant,Residence Hall/Dormitory,44 Harvard Way,2163,51821,67.6,72,,Residence Hall/Dormitory,1926,245.6,4.7,3504595.4,0.432304996,,0.567695004,,,,Not Available,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
MCKAY,Municipal,K-12 School,122 Cottage St.,2128,79082,41.5,86,,K-12 School,1926,197.4,2.5,3278693.1,0.324847483,0.675152517,,,,,Not Available,,,,103989000,"2016, 2017, 2018, 2019, 2020,",No,
MCKINLEY MACKEY,Municipal,K-12 School,90 Warren Ave.,2116,78258,66.6,72,,K-12 School,1959,291.2,3.7,5214845.1,0.125173095,0.874826905,,,,,Not Available,,,,400212000,"2016, 2017, 2018, 2019, 2020,",No,
MCKINLEY MILMORE,Municipal,K-12 School,97 Peterborough St.,2215,19819,74.5,59,,K-12 School,1929,83.1,4.2,1475614.1,0.147429535,0.852570465,,,,,Not Available,,,,504312000,"2016, 2017, 2018, 2019, 2020,",No,
MCKINLEY ST MARYS,Municipal,K-12 School,50 St. Marys St.,2215,17299,57.4,81,,K-12 School,1923,55.6,3.2,992406.6,0.131258297,0.868741703,,,,,Not Available,,,,2100255000,"2016, 2017, 2018, 2019, 2020,",No,
McNamara House (Whole Building Tracking): McNamara House (Whole Building Trac...,Compliant,Multifamily Housing,210 Everett Street,2134,63538,61.8,96,,Multifamily Housing,1981,220.6,3.5,3924852.3,0.141687217,0.858312783,,,,,Not Available,,,,2200864000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - Energy Star Certification
Medical Area Total Energy Plant,Compliant,Energy/Power Station,474 Brookline Avenue,2215,259500,101.5,,,Energy/Power Station,1980,1768.1,6.8,26333999.1,0.218956482,,0.698830422,,,0.082213096,Not Available,,"MATEP generates steam, chilled water and electricity from the on-site combustion of natural gas and fuel oil for distribution to customers and to supply the MATEP building with steam for space heating, chilled water for space cooling, and electricity for lighting and the operation of equipment not related to energy generation (the MATEP building is analogous to a MATEP ""customer""). MATEP also purchases electricity. However, all of the purchased electric power is either consumed by equipment used to generate energy (i.e. chillers) or is passed directly on to customers. Building energy use is calculated based on estimated equipment loads.

MATEP uses water supplied by the Boston Water & Sewer Commission/MWRA to produce boiler feed and chilled water, exhaust waste heat to the atmosphere via evaporation, and operate and cool energy generation equipment. A small portion of this water is also used to supply the building itself for sanitary purposes. Building water use is estimated.",,401930000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Mellon Hall,Compliant,Residence Hall/Dormitory,670 Soldiers Field Road,2163,47698,66.9,81,,Residence Hall/Dormitory,1926,219.2,4.6,3192314.7,0.267239223,,0.732760777,,,,Not Available,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate.
Steam usage is allocated as 88% of the meter shared with Wilder House.  Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Melvin Hill Condominium Trust,Compliant,Multifamily Housing,301 Allston Street,2135,41326,110.2,65,,Multifamily Housing,1981,243.6,5.9,4553665.6,0.017568528,0.982431472,,,,,4032.1,,,,2101749000,"2017, 2018, 2020,",No,
MENDELL,Municipal,K-12 School,164 School St.,2119,31892,70.4,59,,K-12 School,1904,128.7,4,2244728.3,0.193362154,0.80663789,,,,,Not Available,,,,1101416000,"2016, 2017, 2018, 2019, 2020,",No,
Menino Community Center,Municipal,Other - Recreation,125 Brookway Rd,2131,12000,78.4,,,Other - Recreation,2000,54.6,4.5,941349.3,0.2224543,0.777545593,,,,,Not Available,,,,1903432000,"2016, 2017, 2018, 2019, 2020,",No,
Mercantile Wharf: Mercantile Wharf,Compliant,Multifamily Housing,111 Atlantic Avenue,2110,230000,55.2,66,,Multifamily Housing,1974,747.6,3.3,12704998.2,0.26262014,0.73737986,,,,,Not Available,,,,303636000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - ASHRAE II Energy Audit
Merck MRL Boston,Compliant,Laboratory,33 Avenue Louis PAsteur,2115,405163,417.1,,,"Laboratory, Parking",2004,11461.7,28.3,168973442.9,0.389698708,0.001663042,0.60863825,,,,Not Available,,,,401847020,"2014, 2015, 2016, 2017, 2018, 2019, 2020,",No,
Mesick Hall,Municipal,College/University,291 Brookline Avenue,2215,25900,16.5,,,College/University,1961,32.1,1.2,427798.8,1,,,,,,Not Available,,,,402020000,"2018, 2019, 2020,",No,
Methunion,Compliant,Multifamily Housing,465 Columbus Avenue,2116,42998,108.3,56,,"Multifamily Housing, Retail Store",1971,263.4,6.1,4654846.6,0.15930424,0.840695781,,,,,51.63,,Address listed on the Tax Assessor Database as 6 4 BRADDOCK PK - Parcel ID 400790000,,400790000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Metro Mark (Whole Building Tracking): Building A 3615 (Whole Building Tracking),Compliant,Multifamily Housing,3615 Washington Street,2130,109288,63.1,65,,Multifamily Housing,2017,478.4,4.4,6898231.5,0.744214485,0.255785515,,,,,Not Available,,,,1102617010,"2018, 2019, 2020,",No,
Metro Mark (Whole Building Tracking): Building B 3611 (Whole Building Tracking),Compliant,Multifamily Housing,3611 Washington Street,2130,229047,30.4,100,,Multifamily Housing,2017,446.1,1.9,6969117.9,0.499332247,0.500667767,,,,,Not Available,,,,1102617010,"2018, 2019, 2020,",No,
Mezzo Design Lofts,Compliant,Multifamily Housing,30 Caldwell st,2129,123956,44.8,97,,Multifamily Housing,2008,326.6,2.6,5549097.5,0.263129869,0.736870149,,,,,Not Available,,,,201912010,"2015, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Midway Studios: 15 Channel Center Street,Compliant,Multifamily Housing,15 Channel Center St,2210,203500,37.6,63,,Multifamily Housing,2005,513.5,2.5,7659069.5,0.638517525,0.361482475,,,,,Not Available,,Garage space is located in basement of building but does not belong to building,,602750050,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
MILDRED,Municipal,K-12 School,Mildred Ave.,2122,214093,65,44,,"K-12 School, Swimming Pool",2002,886.8,4.1,13917748.9,0.485733867,0.51426614,,,,,Not Available,,,,1800822000,"2016, 2017, 2018, 2019, 2020,",No,
Millennium Avery Condo Tr,Compliant,Multifamily Housing,580 Washington Street,2111,280000,88.9,3,,Multifamily Housing,1900,1632.8,5.8,24889276.1,0.572188622,0.427811378,,,,,Not Available,,,,"304488000, 304832400","2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Millennium Place Primary- North Tower,Compliant,Multifamily Housing,1-3 Avery Street,2111,362409,74.6,15,,"Multifamily Housing, Restaurant",2001,1750.3,4.8,27029770.2,0.533423769,0.466576231,,,,,Not Available,,Parcel IDs:  0304832010 & 0304832020,,"304832020, 304832420","2015, 2016, 2017, 2018, 2019, 2020,",Yes,Not Compliant
Millennium Place Primary-South Tower,Compliant,Mixed Use Property,2 Avery Street,2111,895973,168.8,,,"Fitness Center/Health Club/Gym, Hotel, Movie Theater, Multifamily Housing, Office, Parking, Retail Store",2000,9605.6,10.7,151262284.4,0.476037492,0.523962508,,,,,Not Available,,Additional Boston Assessing Parcel ID's:  0304870020 and 0304870010,,"304870020, 304870400","2014, 2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Millennium Towers,Compliant,Multifamily Housing,1 Franklin St,2110,758542,67.3,12,,"Multifamily Housing, Retail Store",2016,3451.8,4.6,51037007.8,0.665316933,0.334683067,,,,,Not Available,,,,304590010,"2018, 2019, 2020,",No,
Miller Hall,Compliant,Residence Hall/Dormitory,10 Somerset Street,2108,131253,102.7,38,,Residence Hall/Dormitory,2004,935.9,7.1,13484687.4,0.402191459,0.032313838,0.565494711,,,,30.67,,,,302803000,"2014, 2016, 2017, 2018, 2019, 2020,",No,
Mirabella Pool,Municipal,Other - Recreation,475 Commercial St,2109,3220,71.3,,,"Heated Swimming Pool, Other - Recreation",2003,16.1,5,229439.9,1,0,,,,,Not Available,,,,303055000,"2016, 2017, 2018, 2019, 2020,",No,
"Mishawum Park: Bldgs 17, 18, and 20",Compliant,Multifamily Housing,216 Main Street,2129,30425,48.6,98,,Multifamily Housing,1974,85.7,2.8,1479660.4,0.220328529,0.779671471,,,,,42.86,,,,202315000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - 15% Efficiency Improvement
"Mishawum Park: Bldgs 9,10,11, and 12",Compliant,Multifamily Housing,290 Main Street,2129,98577,54.2,92,,Multifamily Housing,1974,318.8,3.2,5343345.2,0.300470593,0.699529407,,,,,54.88,,,,202390000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - 15% Efficiency Improvement
MISSION,Municipal,K-12 School,67 Alleghany St.,2120,64400,77.2,49,,K-12 School,1925,286.1,4.4,4971649.4,0.203485467,0.796514533,,,,,Not Available,,,,1000598010,"2016, 2017, 2018, 2019, 2020,",No,
Mission Main I,Compliant,Multifamily Housing,43 Smith Street,2120,457563,50.1,87,,"Multifamily Housing, Office, Parking",2000,1373.7,3,22915229.3,0.313166951,0.686833049,,,,,48.95,,This property consists of 5 parcels with a total of 15 buildings.,,"1000001005, 1000001050","2015, 2016, 2017, 2018, 2020,",No,
Mission Main I - 39 Smith St,Compliant,Multifamily Housing,39 Smith St,2120,97272,35.5,94,,"Multifamily Housing, Office, Parking",2000,211.2,2.2,3456084.5,0.366626047,0.633373953,,,,,Not Available,,"This parcel contains 3 buildings that share natural gas and water meters.
39 Smith St: 51,974 sf, 0 units
27 Smith St: 25,573 sf, 12 units
24 Horadan Way: 19725 sf, 13 units",,1000001005,"2015, 2016, 2017, 2018, 2019, 2020,",No,
Mission Main I - 55 Smith St,Compliant,Multifamily Housing,55 Smith St,2120,88509,53.5,80,,"Multifamily Housing, Parking",2000,283.7,3.2,4731675.4,0.313684705,0.686315295,,,,,58.64,,"This parcel contains 5 buildings that share gas and water meters.
1 Cornelia Ct: 18475 sf, 9 units
45 Smith St: 11262 sf, 8 units
55 Smith St: 21202 sf, 12 units
22 St. Alphonsus St: 21668 sf, 15 units
42 Horadan Way: 15902 sf, 12 units",,1000001015,"2018, 2019, 2020,",Yes,Compliant - Institution Wide Emissions Reduction
Mission Main I - 661 Parker St,Compliant,Multifamily Housing,661 Parker St,2120,102513,45.6,98,,"Multifamily Housing, Parking",2000,270,2.6,4676273.4,0.21220947,0.78779053,,,,,58.73,,"This parcel consists of 3 buildings that share gas and water meters.
661 Parker St: 32487 sf, 17 units
1 Smith St: 36924 sf, 24 units
2 Horadan Way: 33102 sf, 22 units",,1000001050,"2015, 2016, 2017, 2018, 2019, 2020,",No,
Mission Main I - 675 Parker St,Compliant,Multifamily Housing,675 Parker St,2120,80222,49.2,92,,"Multifamily Housing, Parking",2000,235.5,2.9,3948469.6,0.298918042,0.701081958,,,,,54.23,,"This parcel consists of 3 buildings sharing gas and water meters.
675 Parker St: 44865 sf, 22 units
2 Smith St: 15360 sf, 10 units
14 Smith St: 19997 sf, 14 units",,1000001055,"2018, 2019, 2020,",No,
Mission Main I - 69 McGreevey Way,Compliant,Multifamily Housing,69 McGreevey Way,2120,89047,68.5,67,,"Multifamily Housing, Parking",2000,373.3,4.2,6102726.4,0.369069372,0.630930628,,,,,76.79,,This parcel consists of 1 building.,,1000001025,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - Institution Wide Emissions Reduction
Mission Main II,Compliant,Multifamily Housing,21 Cornelia Street,2120,255574,47.2,95,,"Multifamily Housing, Parking",2000,718.7,2.8,12063322.7,0.29619119,0.70380881,,,,,61.52,,This property contains 4 parcels consisting of 11 buildings.,,"1000001020, 1000001021, 1000001030, 1000001031, 1000001040, 1000001041, 1000001045","2015, 2016, 2017, 2018, 2020,",Yes,Compliant - Institution Wide Emissions Reduction
Mission Main II - 21 Cornelia St,Compliant,Multifamily Housing,21 Cornelia St,2120,102879,43.8,96,,"Multifamily Housing, Parking",2000,265.8,2.6,4501681.7,0.271419456,0.728580544,,,,,51.67,,"This parcel consists of 4 buildings that share natural gas and water meters.
45 Horadan Way: 26000 sf, 9 units
34 St Alphonsus St: 19180 sf, 17 units
60 McGreevey Way: 32126 sf, 12 units
21 Cornelia St: 25573 sf, 16 units",,1000001020,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - Institution Wide Emissions Reduction
Mission Main II - 23 Turquoise Way,Compliant,Multifamily Housing,23 Turquoise Way,2120,54950,37,99,,"Multifamily Housing, Parking",2000,121.8,2.2,2032141.8,0.311758166,0.688241834,,,,,46.83,,"This parcel consists of 2 buildings that share natural gas and water meters.
32 McGreevey Way: 31400 sf, 8 units
23 Turquoise Way: 23550 sf, 14 units",,1000001040,"2017, 2018, 2019, 2020,",No,
Mission Main II - 41 McGreevey Way,Compliant,Multifamily Housing,41 McGreevey Way,2120,11265,98.5,,,"Multifamily Housing, Parking",2000,67.1,6,1109739.8,0.336099327,0.663900673,,,,,123.57,,,,1000001030,"2018, 2019, 2020,",No,
Mission Main II - 631 Parker St,Compliant,Multifamily Housing,631 Parker St,2120,86480,51.1,94,,"Multifamily Housing, Parking",2000,264.1,3.1,4419759.3,0.304244215,0.695755785,,,,,74.51,,"This parcel consists of 4 buildings that share natural gas and water meters.
6 Turquoise Way: 8400 sf, 14 units
5 Horadan Way; 31400 sf, 9 units
631 Parker St; 20000 sf, 14 units
10 McGreevey Way; 13 units",,1000001045,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Compliant - Institution Wide Emissions Reduction
Mission Main III,Compliant,Multifamily Housing,39 McGreevey Way,2120,123048,60,89,,"Multifamily Housing, Parking",2000,430.3,3.5,7377407.2,0.239029384,0.760970629,,,,,68.72,,This parcel consists of 6 buildings.,,1000001035,"2015, 2016, 2018, 2020,",No,
Mission Main III - 1 McGreevey Way,Compliant,Multifamily Housing,1 McGreevey Way,2120,30926,53.7,,,"Multifamily Housing, Parking",2000,99,3.2,1659363.1,0.30007718,0.69992276,,,,,66.48,,,,1000001035,"2018, 2020,",No,
Mission Main III - 104 Ward St,Compliant,Multifamily Housing,104 Ward St,2120,32503,72.1,69,,"Multifamily Housing, Parking",2000,138.8,4.3,2343203.2,0.280318881,0.719681119,,,,,65.97,,This property profile consists of 2 buildings that share a gas meter.,,1000001035,"2018, 2020,",No,
Mission Main III - 39 McGreevey Way,Compliant,Multifamily Housing,39 McGreevey Way,2120,26680,40.9,,,"Multifamily Housing, Parking",2000,64.5,2.4,1092403.5,0.271275586,0.728724322,,,,,50.87,,,,1000001035,"2018, 2020,",No,
Mission Main III - 607 Parker St,Compliant,Multifamily Housing,607 Parker St,2120,36900,42.3,,,"Multifamily Housing, Parking",2000,91.4,2.5,1561341.9,0.2471508,0.7528492,,,,,45.34,,,,1000001035,"2018, 2020,",No,
Mission Main III - 90 Ward St,Compliant,Multifamily Housing,90 Ward St,2120,26400,42.7,,,"Multifamily Housing, Parking",2000,67,2.5,1126076.1,0.294284818,0.705715182,,,,,46.4,,,,1000001035,"2018, 2020,",No,
Mission Park Apartments,Compliant,Multifamily Housing,15-37 St Albams Rd,2115,786880,93.4,37,,Multifamily Housing,1975,4296.7,5.5,73479996.8,0.245620407,0.754379593,,,,,Not Available,,,,1000290000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
Modern Theater and 10 West Combined,Compliant,Residence Hall/Dormitory,525 Washington Street - 10 West Street,2111,190068,55,,,"Performing Arts, Residence Hall/Dormitory",2010,667.9,3.5,10450453.3,0.494584651,0.505415349,,,,,25.26,,"Because these two properties share water they are being reported together.  

The parcel ID#'s are:  

10 West: 0304826010
Modern Theater: 0304828000",,"304826010, 304828000","2014, 2016, 2017, 2018, 2019, 2020,",No,
